request_id,tenant,adapter,whale,arrival_time_ms,start_time_ms,finish_time_ms,wait_time_ms,ttft_ms,service_time_ms,prompt_tokens,output_tokens,total_tokens,switch_penalty_ms
1,A,adapter-chat,False,2,2,1104,0,1004,1102,165,58,223,900
4,B,adapter-code,False,9,1104,2216,1095,2103,1112,43,127,170,900
5,C,adapter-doc,True,10,2216,6373,2206,5750,4157,3178,504,3682,900
12,D,adapter-research,False,27,6373,7522,6346,7400,1149,152,117,269,900
2,A,adapter-chat,False,3,7522,8555,7519,8533,1033,56,33,89,900
11,B,adapter-code,False,24,8555,9649,8531,9590,1094,165,50,215,900
8,C,adapter-doc,False,16,9649,10758,9633,10649,1109,63,114,177,900
16,D,adapter-research,False,39,10758,11909,10719,11811,1151,244,76,320,900
3,A,adapter-chat,True,7,11909,16209,11902,15022,4300,2614,1133,3747,900
17,B,adapter-code,False,40,16209,17339,16169,17195,1130,86,126,212,900
10,C,adapter-doc,False,20,17339,18500,17319,18383,1161,176,119,295,900
25,D,adapter-research,True,57,18500,23454,18443,22068,4954,3286,1299,4585,900
6,A,adapter-chat,False,11,23454,24627,23443,24506,1173,175,133,308,900
18,B,adapter-code,False,41,24627,25810,24586,25684,1183,256,106,362,900
15,C,adapter-doc,True,37,25810,30283,25773,29040,4473,2810,1162,3972,900
29,D,adapter-research,False,69,30283,31437,30214,31301,1154,231,86,317,900
7,A,adapter-chat,False,14,31437,32551,31423,32511,1114,233,40,273,900
19,B,adapter-code,False,42,32551,33692,32509,33570,1141,168,100,268,900
21,C,adapter-doc,True,49,33692,38202,33643,37488,4510,3580,561,4141,900
33,D,adapter-research,False,80,38202,39420,38122,39230,1218,282,133,415,900
9,A,adapter-chat,False,19,39420,40508,39401,40429,1088,91,78,169,900
22,B,adapter-code,False,51,40508,41727,40457,41571,1219,296,127,423,900
28,C,adapter-doc,True,65,41727,47109,41662,45828,5382,4008,1173,5181,900
38,D,adapter-research,False,95,47109,48259,47014,48041,1150,87,148,235,900
13,A,adapter-chat,False,30,48259,49382,48229,49243,1123,56,133,189,900
24,B,adapter-code,False,54,49382,50625,49328,50449,1243,311,147,458,900
51,C,adapter-doc,True,122,50625,54311,50503,53426,3686,2350,670,3020,900
41,D,adapter-research,False,101,54311,55423,54210,55280,1112,191,57,248,900
14,A,adapter-chat,False,34,55423,56539,55389,56463,1116,201,57,258,900
27,B,adapter-code,False,63,56539,57728,56476,57585,1189,283,100,383,900
55,C,adapter-doc,False,129,57728,58907,57599,58697,1179,258,101,359,900
56,D,adapter-research,False,130,58907,60025,58777,59816,1118,116,99,215,900
20,A,adapter-chat,False,45,60025,61250,59980,61102,1225,314,126,440,900
31,B,adapter-code,True,74,61250,64516,61176,63893,3266,2076,432,2508,900
59,C,adapter-doc,False,137,64516,65698,64379,65473,1182,248,109,357,900
64,D,adapter-research,False,151,65698,66825,65547,66568,1127,75,128,203,900
23,A,adapter-chat,False,53,66825,68009,66772,67843,1184,192,137,329,900
43,B,adapter-code,True,107,68009,72673,67902,71972,4664,3880,482,4362,900
63,C,adapter-doc,True,148,72673,76607,72525,75734,3934,2732,628,3360,900
66,D,adapter-research,False,153,76607,77691,76454,77518,1084,175,34,209,900
26,A,adapter-chat,False,61,77691,78741,77630,78654,1050,80,40,120,900
46,B,adapter-code,False,115,78741,79859,78626,79700,1118,200,60,260,900
67,C,adapter-doc,True,157,79859,84566,79702,83782,4707,3894,518,4412,900
72,D,adapter-research,False,172,84566,85697,84394,85438,1131,129,108,237,900
30,A,adapter-chat,False,71,85697,86837,85626,86682,1140,157,105,262,900
47,B,adapter-code,False,116,86837,88035,86721,87795,1198,201,148,349,900
71,C,adapter-doc,True,169,88035,91632,87866,90767,3597,2321,596,2917,900
74,D,adapter-research,False,177,91632,92819,91455,92571,1187,301,90,391,900
32,A,adapter-chat,False,76,92819,93951,92743,93796,1132,149,99,248,900
48,B,adapter-code,False,118,93951,95004,93833,94861,1053,91,39,130,900
73,C,adapter-doc,True,175,95004,100374,94829,99120,5370,4175,1021,5196,900
81,D,adapter-research,False,197,100374,101552,100177,101252,1178,202,126,328,900
34,A,adapter-chat,False,84,101552,102713,101468,102566,1161,256,82,338,900
49,B,adapter-code,False,120,102713,103852,102593,103614,1139,75,142,217,900
75,C,adapter-doc,False,179,103852,104958,103673,104752,1106,211,41,252,900
82,D,adapter-research,False,199,104958,106151,104759,105883,1193,320,87,407,900
35,A,adapter-chat,False,88,106151,107202,106063,107091,1051,90,37,127,900
